ORD200789,2023-08-17,C57276,Tablet,5,691.280029296875,183 Main St,Online,Delivered,TRK75899752,10,SAVE10,Email,3456.39990234375
ORD200632,2023-05-02,C67260,Laptop,5,678.159973144531,463 Main St,Gift Card,Delivered,TRK38229104,7,WINTER15,Facebook,3390.80004882813
ORD201065,2023-10-30,C47778,Printer,5,666.799987792969,488 Main St,Debit Card,Delivered,TRK79504329,7,SAVE10,Referral,3334
ORD200361,2024-06-29,C53464,Printer,5,659.849975585938,197 Main St,Credit Card,Delivered,TRK32743531,9,SAVE10,Facebook,3299.25
ORD200837,2025-06-14,C88029,Chair,5,655.549987792969,282 Main St,Online,Delivered,TRK59701278,5,NIL,Email,3277.75
ORD201079,2024-06-20,C89979,Phone,5,634,144 Main St,Gift Card,Delivered,TRK99055909,8,NIL,Email,3170
ORD200511,2024-03-15,C11415,Monitor,5,575.239990234375,267 Main St,Cash,Delivered,TRK65061457,7,WINTER15,Email,2876.19995117188
ORD200578,2024-10-10,C50415,Monitor,5,566.070007324219,587 Main St,Credit Card,Delivered,TRK41345634,6,SAVE10,Instagram,2830.35009765625
ORD200883,2025-05-13,C43595,Printer,5,561.47998046875,451 Main St,Online,Delivered,TRK25317348,9,FREESHIP,Facebook,2807.39990234375
ORD200769,2023-07-06,C13366,Printer,4,678.549987792969,568 Main St,Cash,Delivered,TRK98691410,5,NIL,Email,2714.19995117188
ORD200032,2023-05-01,C12388,Tablet,5,536.719970703125,830 Main St,Cash,Delivered,TRK99261395,10,NIL,Email,2683.60009765625
ORD200781,2024-01-10,C43524,Phone,5,524.260009765625,934 Main St,Gift Card,Delivered,TRK51479426,5,FREESHIP,Referral,2621.30004882813
ORD200587,2023-06-12,C18820,Monitor,5,514.599975585938,347 Main St,Gift Card,Delivered,TRK91547425,10,FREESHIP,Instagram,2573
ORD200446,2023-10-18,C89592,Laptop,5,509.579986572266,262 Main St,Online,Delivered,TRK49442402,6,FREESHIP,Instagram,2547.89990234375
ORD200390,2023-07-14,C55996,Printer,5,508.690002441406,885 Main St,Cash,Delivered,TRK30547638,10,FREESHIP,Google,2543.44995117188
ORD200558,2024-07-16,C76766,Phone,4,628.119995117188,485 Main St,Online,Delivered,TRK32052962,6,WINTER15,Instagram,2512.47998046875
